species_name,x,y
Bensoniella_oregona,-123.751,42.802
Bensoniella_oregona,-123.7903,42.802
Bensoniella_oregona,-123.7903,42.802
Bensoniella_oregona,-123.7707,42.7873
Bensoniella_oregona,-123.751,42.9927
Bensoniella_oregona,-123.9646,42.7788
Bensoniella_oregona,-123.7117,42.9047
Bensoniella_oregona,-123.7117,42.9047
Bensoniella_oregona,-123.8266667,42.625
Bensoniella_oregona,-123.8038889,42.60861111
Bensoniella_oregona,-123.9075,42.54222222
Bensoniella_oregona,-123.9236111,42.57222222
Bensoniella_oregona,-123.8038889,42.60861111
Bensoniella_oregona,-123.8038889,42.60861111
Bensoniella_oregona,-123.8519444,42.63444444
Bensoniella_oregona,-124.1558333,42.36638889
Bensoniella_oregona,-124.1602778,42.46083333
Bensoniella_oregona,-124.1641667,42.36083333
Bensoniella_oregona,-123.8045,40.8188
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.7575278,40.74955556
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.7703,40.7525
Bensoniella_oregona,-123.8045,40.8188
Bensoniella_oregona,-123.7691,40.7519
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.7626,40.7471
Bensoniella_oregona,-123.75975,40.74108333
Bensoniella_oregona,-123.7627778,40.75083333
Bensoniella_oregona,-123.7627778,40.75083333
Bensoniella_oregona,-123.8127778,40.82
Bensoniella_oregona,-123.7575,40.74083333
Bensoniella_oregona,-123.7575,40.74083333
Bensoniella_oregona,-123.81222,40.83188
Bensoniella_oregona,-123.7691,40.7519
Bensoniella_oregona,-123.8045,40.8188
Bensoniella_oregona,-123.7703,40.7525
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.7703,40.7525
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.7522,40.7492
Bensoniella_oregona,-123.7703,40.7525
Bensoniella_oregona,-123.8236,40.8406
Bensoniella_oregona,-123.8045,40.8188
Bensoniella_oregona,-123.7691,40.7519
Bensoniella_oregona,-123.8189,40.8182
Bensoniella_oregona,-123.8189,40.8182
Bensoniella_oregona,-123.7603,40.7499
Bensoniella_oregona,-123.7522,40.7492
Bensoniella_oregona,-123.7626,40.7471
